id,song_id,lyrics_text,lyrics_hash,word_count,verse_count,language_detected,source,lyrics_raw_id,created_at,year
812,5,"kapo ryan castro gangsta
que chimba sog
the real combination one more time
again and again and again
si quiere me busca me busca en un party
si quiere me busca me busca que aqui toy
me gusta tu boca y curva de tu body
ven bailemo que ya casi me voy
que suene ese vals y si entra el awoo
mami que prendan los flash
no me voy de aqui si no tengo una peli black
que escuche dancehall y tenga grande atras
un recuerdo un flashback
hasta sin joya tu brilla
 nuevecito mamacita cero milla
vamos todo el finde a parcharno en villa
esto es secretico donde nadie nos pilla
nadie nos pilla
una que baile dancehall el doctor me receto
su mini mini mini mini a mi me hipnotizo
sexy gyal tu anda suelta mami lo se to
su mini mini mini mini a mi me hipnotizo
una que baile dancehall el doctor me receto
su mini mini a mi me hipnotizo
sexy gyal tu anda suelta mami lo se to
su mini mini a mi me hipnotizo
llego to a mafia que convoquen las muneca
hoy voy salido lleca
vamo finca despues de discoteca
no te haga santa mamacita que tu peca
 no baby don t go vamo a cogerlo slow
siente vibra escuchando este dancehall
pero tenemo algo pendiente tu y despues de este show awoo
bye bye todos nos miran pero chao
bye bye conmigo estas chimba no woman no cry
aunque ya se que e que menos runfly
biram
 una que baile dancehall el doctor me receto
su mini mini mini mini a mi me hipnotizo
sexy gyal tu anda suelta mami lo se to
su mini mini mini mini a mi me hipnotizo
una que baile dancehall el doctor me receto
su mini mini a mi me hipnotizo
sexy gyal tu anda suelta mami lo se to
su mini mini a mi me hipnotizo
me fascina tu style me fascina tu style arrebata
hopi bo sanka mami me sonsaca
y mano en pared
asi tal cual el doctor me medico
nada generico original sin quimico
soy su kapo tambien soy su lollipop
brilla mi lollipop como estrella de pop mami
be bebe bye

biram
tu booty smile

biram
una que baile dancehall el doctor me receto
su mini mini mini mini a mi me hipnotizo
sexy gyal tu anda suelta mami lo se to
su mini mini mini a mi me hipnotizo
una que baile dancehall el doctor me receto
su mini mini mini mini a mi me hipnotizo
sexy gyal tu anda suelta mami lo se to
su mini mini a mi me hipnotizo
gangsta",a866d15177da0cb4e6b08e53321a4ac5efcc78b2f3dd9798b488a42886bd7df0,444,65,es,genius,,2026-03-06 18:04:39.830934+00,2025
825,7,"your blades are sharpened with precision
flashing your favorite point of view
i know you re waiting in the distance
just like you always do just like you always do
already pullin me in
already under my skin
and i know exactly how this ends i
let you cut me open just to watch me bleed
gave up who i am for who you wanted me to be
don t know why i m hopin for what i won t receive
fallin for the promise of the emptiness machine
the emptiness machine
goin around like a revolver
it s been decided how we lose
cause there s a fire under the altar
i keep on lyin to i keep on lyin to
already pullin me in
already under my skin
and i know exactly how this ends i
let you cut me open just to watch me bleed
gave up who i am for who you wanted me to be
don t know why i m hopin for what i won t receive
fallin for the promise of the emptiness machine
i only wanted to be part of somethin
i only wanted to be part of part of
i only wanted to be part of somethin
i only wanted to be part of part of
i only wanted to be part of somethin
i only wanted to be part
i let you cut me open just to watch me bleed
gave up who i am for who you wanted me to be
don t know why i m hopin so fuckin naive
fallin for the promise of the emptiness machine
the emptiness machine

the emptiness machine

the emptiness machine",a481b68499e3cfd97251aaac13b92453732773c709a32cf8255af685f6561a87,279,36,es,genius,,2026-03-06 18:06:00.428704+00,2024
139,9,"pensaba que contigo iba a envejecer
en otra vida en otro mundo podra ser
en esta solo queda irme un dia
y solamente verte en el atardecer
si me ven solo y triste no me hablen
si me ven solo y triste soy culpable
vida es una fiesta que un dia termina
y fuiste tu mi baile inolvidable
y fuiste tu mi baile inolvidable


mientras uno esta vivo
uno debe amar lo mas que pueda
pensaba que contigo iba a envejecer
en otra vida en otro mundo podra ser
en esta solo queda irme un dia
y ver l cielo a ver si te veo caer
si me ven solo y triste no me hablen
si me ven solo y triste soy culpable
vida es una fiesta que un dia termina
y fuiste tu mi baile inolvidable
no no te puedo olvidar
no no te puedo borrar
tu me ensenaste a querer
me ensenaste a bailar
no no te puedo olvidar
no no te puedo borrar
tu me ensenaste a querer
me ensenaste a bailar
ey
dime como le hago olvidarte
un paso nuevo que quiero ensenarte
en las noche ya ni puedo dormir
lo que hago es sonarte
no no te puedo olvidar
no no te puedo borrar
tu me ensenaste a querer
me ensenaste a bailar
como tu me besabas como te lo hacia
como tu me mirabas bellaquito me ponia
se siente feo no tenerte cerquita
nueva mama bien pero no es tu boquita
mi diabla mi angel mi loquita
mi diabla mi angel mi loquita ey
esto suena cabron
vamo a hacerlo otra ve
como anoche como anoche
tan tan ta ta
aprieta chamaquito aprieta
¡ahi ahi ahi vamo alla!
no no te puedo olvidar
no no te puedo borrar
tu me ensenaste a querer
me ensenaste a bailar
con cualquiera me puedo acostar
pero no con cualquiera quiero despertar
solo con usted con usted
bailo con usted mas con usted
un beso donde estes donde estes bebe
no no te puedo olvidar
no no te puedo borrar
tu me ensenaste a querer
me ensenaste a bailar
y he tenido muchas novia
pero como tu ninguna
ya no tengo mi sol me paso en luna
si te pienso me tiro de una
mi diabla mi angel mi loquita
mi diabla mi angel mi loquita",15104e83cc59c24df9654ed925ba5522f4ff56e11c90566de16d5b08aafa1bbf,388,67,es,genius,,2026-03-06 02:03:19.144464+00,2026
140,10,"con este tema te voy a hacer viajar en el tiempo
escucha
hoy le pido a mis suenos
que te quiten ropa
que conviertan en besos
todos mis intentos de morderte boca
y aunque entiendo que tu
tu siempre tienes ultima palabra en esto del amor
hoy le pido a tu angel de guarda que comparta
que me de valor y arrojo en batalla ganarla
y es que no quiero pasar por tu vida como las modas
no se asuste senorita nadie le ha hablado de boda
tan solo quiero ser las cuatro patas de tu cama
tu guerra todas las noches tu tregua cada manana
quiero ser tu medicina tus silencios y tus gritos
tu ladron tu policia tu jardin con enanitos
quiero ser escoba que en tu vida barra tristeza
quiero ser tu incertidumbre y sobre todo tu certeza
ja esto es roze
otra vez otra vez
es v y v
max carra
ramky en los controle
y hoy le pido a luna
que me alargue esta noche
y que alumbre con fuerza este sentimiento y baile en los corazones
y aunque entiendo que tu
seras siempre ese sueno que quizas nunca podre alcanzar
y es que no quiero pasar por tu vida como las modas
no se asuste senorita nadie le ha hablado de boda
tan solo quiero ser las cuatro patas de tu cama
tu guerra todas las noche y tu tregua cada manana
quiero ser tu medicina tus silencios y tus gritos
tu ladron tu policia tu jardin con enanitos
quiero ser escoba que en tu vida barra tristeza
quiero ser tu incertidumbre y sobre todo tu certeza",d3de635d441aa782987d31d9f24a14cc00f43fdb4efd7f4c26845e76b7680c8e,273,36,es,genius,,2026-03-06 02:03:22.747419+00,2025
142,12,"jajajajaja
quehicistebella
como antes baby vamo a hacerlo como antes
como cuando no era cantante

mami extrano tu olor necesito tu calor
ven que te quiero hacer el amor
escuchando de fondo mafia del amor
como lo haciamos antes dentro de tu habitacion
mami extrano tu olor necesito tu calor
ven que te quiero hacer el amor
escuchando de fondo mafia del amor
como lo haciamos antes dentro de tu habitacion
como ant s baby vamo a hacerlo como antes
como cuando no era cantant
antes de que me hiciera un ganster
antes de ponerte implante
como antes baby vamo a hacerlo como antes
como cuando no era cantante
antes de que me hiciera un ganster
antes de ponerte implante
deja de esconderte vo a salir a buscarte
deja demostrarte que ya no soy el de ante
rico vo a tratarte lo nuestro e aparte
vamo a hacer deporte despues l restaurante
baby vamo a hacerlo cerlo como ante
y si tu quiere manana puede olvidarte
y un beso a tu mama de mi parte
y si tu quiere ya sabe donde encontrarme
como antes baby vamo a hacerlo como antes
como cuando no era cantante


mami extrano tu olor necesito tu calor
ven que te quiero hacer el amor
escuchando de fondo mafia del amor
como lo haciamos antes dentro de tu habitacion
mami extrano tu olor necesito tu calor
ven que te quiero hacer el amor
escuchando de fondo mafia del amor
como lo haciamos antes dentro de tu habitacion
ando por calle ando en el joseo
tu sabes mami me cuido de los feos
pendiente a ti a las otras ni las leo
extrano los perreos dandote de o
me tienes preso ven dame de
 a mi me dejo el cora ileso
te juro que ha sido dificil el proceso
ando con culos pero mami te pienso
y ahora soy un bandido pero roto
vamos louis v te exploto
ma todavia tengo las fotos
estoy loquito por romperte ese toto




como antes baby vamo a hacerlo como antes
como cuando no era cantante
antes de que me hiciera un ganster
antes de ponerte implante
como antes baby vamo a hacerlo como antes
como cuando no era cantante
antes de que me hiciera un ganster
antes de ponerte implante
jajajajaja
quehicistebella",edfc447f1a7274acc07b18c2ef521b62a6850cee60245cd3aea890d05369d033,383,60,es,genius,,2026-03-06 02:03:30.448134+00,2024
146,14,"i heard you calling on the megaphone
you wanna see me all alone
as legend has it you are quite the pyro
you light the match to watch it blow
and if you d never come for me
i might ve drowned in the melancholy
i swore my loyalty to me myself and i
right before you lit my sky up
all that time
i sat alone in my tower
you were just honing your powers
now i can see it all
late one night
you dug me out of my grave and
saved my heart from the fate of
ophelia
keep it one hundred on the land th sea the sky
pledge allegiance to your hands your team your vibes
don t care where the hell you ve been cause now you re mine
it s bout to be the sleepless night you ve been dreaming of
the fate of ophelia
the eldest daughter of a nobleman
ophelia lived in fantasy
but love was a cold bed full of scorpions
the venom stole her sanity
and if you d never come for me
i might ve lingered in purgatory
you wrap around me like a chain a crown a vine
pulling me into the fire
all that time
i sat alone in my tower
you were just honing your powers
now i can see it all
late one night
you dug me out of my grave and
saved my heart from the fate of
ophelia
keep it one hundred on the land the sea the sky
pledge allegiance to your hands your team your vibes
don t care where the hell you ve been cause now you re mine
it s bout to be the sleepless night you ve been dreaming of
the fate of ophelia
tis locked inside my memory
and only you possess the key
no longer drowning and deceived
all because you came for me
locked inside my memory
and only you possess the key
no longer drowning and deceived
all because you came for me
all that time
i sat alone in my tower
you were just honing your powers
now i can see it all
late one night
you dug me out of my grave and
saved my heart from the fate of
ophelia
keep it one hundred on the land the sea the sky
pledge allegiance to your hands your team your vibes
don t care where the hell you ve been cause now you re mine
it s bout to be the sleepless night you ve been dreaming of
the fate of ophelia
you saved my heart from the fate of ophelia",9f4ce27aae9f01b3e7f7be3ebfdbfb899fed418f2f6cd7288b8b4af5425c1ce9,440,64,es,genius,,2026-03-06 02:03:47.290239+00,2025
151,18,"acho pr es otra cosa
conoci en miami en brickell
ella sabe que aqui ticket
quiere que se aplique
que casa trafique
vo a llevarte pr mami que vea como es que se perrea
traete a tu amiga si te gusta idea
dile que esta noche vamo a janguear
que rico vamo a pasar
aqui nadie se va a casar
pero tu te va a querer quedar
aprovecha qu estoy soltero single
miram mal si quiere que te singue
te vo a llevar pr to el finde
despue de mi va a borrar tinder
y estoy suelto mami estoy suelto
mirame ahora perreando un experto
estoy suelto mami estoy suelto ey ey ey
hoy calle esta prendia hookah pastilla molia
 no pierdo tiempo las cambio como rosalia
que me mira a los ojo por cinco segundo ya se que es mia
donde estan las mala ? que son bienvenia
 toy puesto l lio dime si tu lia
tus amiga y to el corillo tan bien rica
pero ese culo tuyo sobresalia
salimo de disco y estaba de dia
obviamente sali con que queria ey
que puteria
tan tan chuleria ey
dime si te va a montar isla tengo el portal
bien borracho los tre baby a las do me las vo a llevar
me quiere besar ja que puse mal
tirate fotitos ahora porque ahorita te vo a despeinar

vo a llevarte pr mami que vea como es que se perrea
traete a tu amiga si te gusta idea
dile que esta noche vamo a janguear
que rico vamo a pasar
aqui nadie se va a casar
pero tu te va a querer quedar
 si si
esto es pr mami
aqui naci y el reggaeton que sepa
ey ey ey
voy cazando y muero perreando
voy cazando y muero perreando
voy cazando y muero perreando
que bailen toa las gata nos fuimo algarete
tas escuchando al que mas le mete
mami sueltate el grillete
ponte en cuatro que te vo a dar fuete
ponte en cuatro que te vo a dar fue",5d7b98ce19711a708e37bd44e64bdd9db09d3bec8d6b5af8dbcfbc1dc5661f2f,342,51,es,genius,,2026-03-06 02:04:06.905449+00,2026
153,20,"baby where the hell is my husband?
what is takin him so long to find me?
 baby where the hell is my lover?
getting down with another?
tell him if you see him baby if you see him tell him
he should holler
why is this beautiful man waiting for me to get old?
why he already testing my patience?
i only fear he taking time with other women that ain t me
while i ve been reviewin applications
wait till i get my hands on him i ma tell him off too
for how long he kept me waitin anticipatin
prayin to the lord to giv him to my lovin arms
and despite my frustrations
and he must need m
completely
how my heart yearns for him
is he far away?
is he okay?
this man is testing me
help me help me help me lord
i need you to tell me
baby where the hell is my husband?
what is taking him so long to find me?
 baby where the hell is my lover?
getting down with another?
tell him if you see him baby if you see him tell him
he should holler
i m doing lonely acrobatics unzipping my dress at 2 a m
and i m tired of living like this
he must be out there getting ready tryna fix up his tie
hello? this where your wife is
wait till i get your heart goin i ma turn it up too
for how much i m bout to love ya no one above ya
prayin to the lord to hurry hurry you along
baby i intend to rush ya
and he must need me
completely
how my heart yearns for him
is he far away?
is he okay?
this man is testing me
help me help me help me lord
i need you to tell me
baby where the hell is my husband?
what is taking him so long to find me?
 baby where the hell is my lover?
getting down with another?
tell him if you see him baby if you see him tell him
he should holler
tuh tuh tuh tuh
tell him i m mm tell him i m mm with the mm mm mm
tell him i m kind tell him i m 5 5
tell him i ve got brown eyes and a growing fear
that if he doesn t find me now
i m gonna die alone so can he


i want it want it want it want it want it
i would like a i would like a
i would like a diamond on my wedding finger
i would like a big and shiny diamond that i can wave around
and talk and talk about it
and when the day is here forgive me god that i could ever doubt it
until death i do i do i do i
is he about it bout it bout it?
this man is testing me
help me help me help me lord
i need you to tell me
baby where the hell is my husband?
what is taking him so long to find me?
 baby where the hell is my lover?
getting down with another?
tell him that my grandma said it tell him grandma said it
your husband is
coming
i would like a i would like a
i would like a diamond on my wedding finger
i would like a big and shiny
diamond diamond diamond diamond diamond
where is my husband?",50302d0daff9062a9555682b289ae1a7099be7ba6cd9f0e1594af4787630dc47,585,79,es,genius,,2026-03-06 02:04:14.40717+00,2024
840,21,"to el mundo ya supone que tu y somo algo
confirman en calle que contigo es que salgo
 entonce que mentirno mas?
no se que seguir disimulando mas
que importe un culo lo que piensen los demas
tu y nacimo estar juntos me pregunto
que putas esconderno ?
dejemo tanto misterio para verno
 te gusto tu me gustas hace rato se sabe
delante de gente besame
que putas esconderno ?
dejemo tanto misterio para verno
 te gusto tu me gustas hace rato se sabe
delante de gente besame
vo a presumir que estas dura tu gangster tu mi chula
contigo me pasa que no me importa lo que comenten
si nos llegan a altura tienes vibra de alma pura
para el mal ella es mi cura su cintura esta demente
me enamore
de ti mas me enamoro
con espalda en pared
sin pensar que alguien nos vio
de ti me enamore
de ti mas me enamoro
con espalda en pared
sin pensar que alguien nos vio
 que putas esconderno ?
dejemo tanto misterio para verno
 te gusto tu me gustas hace rato se sabe
delante de gente besame
que putas esconderno ?
o o ovy on the drums",e73e61fdf2df4d66bf6051bb7d7e7f560fc2ff2099eaa9b7ea83be753637b743,198,32,es,genius,,2026-03-06 18:07:22.672238+00,2025
144,22,"¡
nueva
yol
!
si te quieres divertir
con encanto y con primor
solo tienes que vivir
 donde?

un verano en nueva york
¡nueva york!

si te quieres divertir
con encanto y con primor
 pero que es esto?

solo tienes que vivir
 y este frio?

un verano en nueva york
un ratito ma

ey ey ey 4 de julio 4th de july
ando con mi primo borracho rulay
los mio en el bronx saben que
con nota en high por washington heights
willie colon me dicen l malo ey
porque pasan los ano y sigo dando palo
vendi ndo disco como cuadro e frida kahlo
el perico es blanco si si el tusi rosita
no te confunda no no mejor evita ey
un shot de canita en casa de tonita y pr se siente cerquita
si si si tengo el campeonato nadie me lo quita
the best in the world
number one the best in the world okey? ¡puerto rico!
como bad bunny va a ser rey del pop ey
con reggaeton y dembow? ey
con reggaeton y dembow si
con reggaeton y dembow
como bad bunny va a ser rey del pop ey
con reggaeton y dembow?
me siento como el lapiz en capea el dough
cuando naci fue que nacio el flow
de o a o ping pong
un flow pesa o big pun
con silenciador les robamo las gata james bond ey
estoy en mia no tengo adversario no
con los yankee y los met juan soto
a correr que otra ve sacamo el estadio
si te quieres divertir
con encanto y con primor
solo tienes que vivir
ya mismo nos vamo

un verano en nueva
un ratito ma un ratito

cuida o que nadie nos escuche
cuida o que nadie nos escuche
cuida o que nadie nos escuche
cuida
tu tiene piquete mami tambien
tu estas buena estoy bueno tambien
huelo rico y ando con los de cien
si tu lo quiere lo tiene que mover
tu tiene piquete mami tambien
tu estas buena estoy bueno tambien
huelo rico y ando con los de cien
si tu lo quiere lo tiene que mover
lo tiene que move ve ve ve ve ve ve ve ve ve ve ve
lo tiene que move ve ve ve ve ve ve ve ve ve ve ve
lo tiene que move ve ve ve ve ve ve ve ve ve ve ve
lo tiene que move ve ve ve ve ve ve ve ve ve ve ve ve ve ve ve",aee1a0f752f183a660a4a03310d444ff0018a3506886d9bf0e7113998142e6a2,421,66,es,genius,,2026-03-06 02:03:38.331714+00,2026
